Airport,42.37426,-71.0304,4576.75,0
Alewife,42.39543,-71.14251,1704,1
Allston_Street,42.34897,-71.13722,405.25,2
Andrew,42.33015,-71.05767,10140.5,3
Aquarium,42.35979,-71.05347,6419.25,4
Arlington,42.3519,-71.07041,7283,5
Ashmont,42.2845,-71.06381,1009,6
Assembly,42.3927,-71.07724,6425,7
Babcock_Street,42.34196,-71.13163,773.25,8
Back_Bay,42.34735,-71.07572,8095.75,9
Back_of_the_Hill,42.34298,-71.1167,70,10
Beachmont,42.39754,-70.9928,2407.25,11
Beaconsfield,42.33586,-71.14037,775,12
Blandford_Street,42.34929,-71.10036,974.25,13
Boston_College,42.34045,-71.16738,23.5,14
Bowdoin,42.36137,-71.06203,280,15
Boylston,42.35231,-71.06459,7738.5,16
Braintree,42.20785,-71.00114,531.25,17
Brandon_Hall,42.34117,-71.12408,317.75,18
Brigham_Circle,42.33491,-71.10426,335.5,19
Broadway,42.34262,-71.05696,10737.25,20
Brookline_Hills,42.33122,-71.1264,834.25,21
Brookline_Village,42.33253,-71.1162,888.75,22
BU_Central,42.35026,-71.10627,940.75,23
BU_East,42.35094,-71.11581,964.25,24
BU_West,42.34941,-71.10082,918.25,25
Central,42.36539,-71.10371,10677.5,26
Charles/MGH,42.36117,-71.07063,12718.25,27
Chestnut_Hill,42.32666,-71.16532,650,28
Chestnut_Hill_Ave.,42.33817,-71.15379,62,29
Chinatown,42.35236,-71.0623,9675.25,30
Chiswick_Road,42.34082,-71.15002,108.25,31
Cleveland_Circle,42.33697,-71.14898,36.25,32
Community_College,42.37379,-71.06968,8281.25,33
Coolidge_Corner,42.34108,-71.12165,463.75,34
Copley,42.34997,-71.07777,5250.5,35
Davis,42.39674,-71.12182,4788,36
Dean_Road,42.33728,-71.13125,121,37
Downtown_Crossing,42.35521,-71.06094,11402,38
Eliot,42.32339,-71.21697,431,39
Englewood_Ave.,42.33681,-71.14803,61.75,40
Fairbanks_Street,42.3492,-71.13063,281.75,41
Fenway,42.34539,-71.10409,1000.5,42
Fenwood_Road,42.33386,-71.10569,223.75,43
Fields_Corner,42.30009,-71.06175,2698.75,44
Forest_Hills,42.30052,-71.11393,1498.25,45
Government_Center,42.35971,-71.0594,3091.5,46
Green_Street,42.31057,-71.10758,3209.25,47
Griggs_Street,42.34874,-71.1343,483.25,48
Harvard,42.37336,-71.11896,9134.5,49
Harvard_Ave.,42.3502,-71.13116,571.25,50
Hawes_Street,42.34887,-71.14022,603,51
Haymarket,42.3632,-71.05878,6733,52
Heath_Street,42.32877,-71.11034,35,53
Hynes_Convention_Center,42.34735,-71.08459,4094.5,54
Jackson_Square,42.32313,-71.09959,4824.75,55
JFK/Umass,42.32069,-71.05239,7157,56
Kendall/MIT,42.36267,-71.08507,12069.5,57
Kenmore,42.3489,-71.09537,2298.75,58
Kent_Street,42.33739,-71.1462,587,59
Lechmere,42.37077,-71.07717,711,60
Longwood,42.34191,-71.11827,949.25,61
Longwood_Medical_Area,42.33728,-71.09907,476,62
Malden_Center,42.42671,-71.07408,3029,63
Massachusetts_Ave.,42.34151,-71.08323,6838.25,64
Maverick,42.36912,-71.03953,5955.75,65
Mission_Park,42.33384,-71.1095,177.5,66
Museum_of_Fine_Arts,42.33614,-71.09883,592.75,67
Newton_Centre,42.32991,-71.19277,578.25,68
Newton_Highlands,42.32122,-71.20628,489.75,69
North_Quincy,42.27528,-71.02958,5000,70
North_Station,42.36557,-71.06129,6279.75,71
Northeastern_University,42.34047,-71.08881,679,72
Oak_Grove,42.43668,-71.0711,903.5,73
Orient_Heights,42.38687,-71.00474,3379,74
Packards_Corner,42.35223,-71.12395,700.75,75
Park_Street,42.3564,-71.06242,10220.5,76
Pleasant_Street,42.34956,-71.14043,845.25,77
Porter,42.3884,-71.11915,7129.5,78
Prudential,42.34502,-71.08144,1288.25,79
Quincy_Adams,42.23339,-71.00715,1561.5,80
Quincy_Center,42.25181,-71.00541,2875.75,81
Reservoir,42.33536,-71.14873,698.25,82
Revere_Beach,42.40784,-70.99253,1770.5,83
Riverside,42.33706,-71.2522,44.5,84
Riverway,42.33166,-71.11027,111.75,85
Roxbury_Crossing,42.3314,-71.09551,5354,86
Ruggles,42.33669,-71.08811,6116.25,87
Saint_Mary_Street,42.34566,-71.107,630.5,88
Saint_Paul_Street_B,42.34335,-71.11684,662,89
Savin_Hill,42.31129,-71.05333,3261,90
Science_Park,42.36786,-71.06714,1111.5,91
Shawmut,42.29313,-71.06574,2086.75,92
South_Station,42.35231,-71.05514,12242.75,93
South_Street,42.33816,-71.15798,31.25,94
St_Pauls_Street_C,42.3434,-71.117,662,95
State_Street,42.35898,-71.0576,6982.5,96
Stony_Brook,42.31746,-71.10479,3970.25,97
Suffolk_Downs,42.3905,-71.00687,2816.75,98
Sullivan_Square,42.38495,-71.07617,7519.25,99
Summit_Ave.,42.34155,-71.14673,368.25,100
Sutherland_Road,42.3417,-71.14656,171.5,101
Symphony,42.34269,-71.08506,883,102
Tappan_Street,42.3388,-71.14837,167.25,103
Tufts_Medical_Center,42.34966,-71.06353,9343.75,104
Waban,42.32587,-71.23039,391.25,105
Warren_Street,42.30153,-71.08517,313,106
Washington_Square,42.33929,-71.13526,228,107
Washington_Street,42.30028,-71.11444,233,108
Wellington,42.40237,-71.07708,5222.75,109
Wollaston,42.26651,-71.02033,4057.25,110
Wonderland,42.41342,-70.99165,744.75,111
Wood_Island,42.37964,-71.0227,3876,112
Woodland,42.3339,-71.24039,346.75,113
